isolate.code,isolation.longitude.cor,isolation.latitude.cor,Thab.past,Thab.fut,Thab.change,safety_margin,warming_tolerance,growth.eq,DGE
469,130.83,33.93,18.76519859,22.57078369,3.805585092,13.46379362,21.31717052,38.38118571,19.61598711
470,130.83,33.93,18.76519859,22.57078369,3.805585092,4.770315316,20.80697763,28.28999743,9.524798836
471,130.83,33.93,18.76519859,22.57078369,3.805585092,13.44920414,21.29992959,38.59607968,19.83088108
472,130.83,33.93,18.76519859,22.57078369,3.805585092,7.861085796,16.28558167,32.07328554,13.30808695
473,130.83,33.93,18.76519859,22.57078369,3.805585092,13.68692898,21.32235486,38.77567543,20.01047683
474,130.83,33.93,18.76519859,22.57078369,3.805585092,13.56749799,21.29984727,38.59925727,19.83405868
475,130.83,33.93,18.76519859,22.57078369,3.805585092,13.43036167,21.29874447,38.57313197,19.80793337
476,284.08,-46.66,10.50496756,12.72897715,2.224009588,3.710986909,5.860514669,15.89476003,5.389792473
477,144.75,13.83,27.60949019,30.71913323,3.109643041,-5.592791911,2.414974669,27.60949132,0
542,14.25,40.96,17.43795456,20.7578364,3.319881843,1.717257595,12.56836946,20.75803317,3.32007861
543,14.33,40.75,17.46989482,20.8493955,3.379500675,3.870460118,12.53149081,24.53966024,7.069765421
544,14.14,40.49,17.58749413,21.06746111,3.479966978,1.336695375,12.45111689,20.20299666,2.615502528
545,232.57,49.65,11.25100804,14.49672482,3.245716776,7.96601085,18.77220603,24.94394876,13.69294072
546,133.33,34.17,18.82950131,22.33771598,3.508214668,-0.16976187,11.2057171,18.82950019,0
548,295.18,17.79,26.05282429,28.99339269,2.940568403,-2.079371976,4.113373264,26.05281692,0
549,115.83,-31.99,20.17937987,22.41583825,2.236458383,3.930754184,10.38711668,26.99513722,6.815757355
550,356.17,53.28,10.37191735,12.21619507,1.844277727,16.13076057,22.80714164,32.57683074,22.2049134
551,205,28,21.10467306,24.08240386,2.977730799,5.571108075,12.05974585,30.20587217,9.101199104
552,236.99,48.54,11.8208945,14.55451151,2.733617013,14.82959359,21.9749423,32.64897756,20.82808306
553,350.67,39.5,16.88261211,19.41185155,2.529239439,2.802791335,9.189869725,21.97240455,5.089792437
554,235.336,47.91,12.22527593,15.15324697,2.927971046,11.22874299,20.78198501,30.72633475,18.50105882
555,235.336,47.91,12.22527593,15.15324697,2.927971046,12.51847607,22.82181253,32.65901154,20.43373562
556,237.98,36.96,17.48931885,20.03044128,2.541122437,4.765091402,17.40178952,27.40811402,9.918795174
557,241.6,33.91,19.00240294,21.73018513,2.727782187,5.49612886,15.75696074,28.78028466,9.777881725
558,139.85,-57.85,3.548800293,5.147578402,1.598778109,0.239810095,4.262082103,4.023034997,0.474234704
622,288.61,41.57,13.91142949,17.4805169,3.569087412,9.988570507,20.18857051,30.24065785,16.32922836
624,288.61,41.57,13.91142949,17.4805169,3.569087412,8.588570507,21.18857051,29.02985099,15.11842149
625,288.54,41.43,14.30931644,17.87622226,3.566905812,7.090683557,20.99068356,27.75491498,13.44559854
626,288.61,41.57,13.91142949,17.4805169,3.569087412,10.98857051,20.18857051,31.37528878,17.46385929
628,286.94,41.23,15.63139247,19.27440937,3.643016897,4.468607529,14.36860753,23.79143346,8.160040987
629,288.61,41.57,13.91142949,17.4805169,3.569087412,6.688570507,16.08857051,25.51456899,11.60313949
630,288.61,41.57,13.91142949,17.4805169,3.569087412,8.088570507,16.18857051,26.90206834,12.99063884
